chunk_id,position,character,text
001,D2,Mark,"Hi Sara, I'm in the climbing area of this indoor rock climbing center."
001,B5,Sara,Hi Mark. I'm in the training area.
001,D2,Mark,I see a sloper climbing hold here.
001,B5,Sara,Uh-huh. I see a ribbed exercise mat under a weight bench here.
001,D2,Mark,There's a quickdraw clipped to the wall.
001,B5,Sara,Got it. My campus board is below the hangboard mount.
001,D2,Mark,There's a rope bag against the wall corner here.
001,B5,Sara,"Right, my campus board is ten-inch thick and below the hangboard mount."
001,D2,Mark,I'll head to the back office corridor now.
001,B5,Sara,I see a weight rack near the mat surface here.
002,D1,Mark,I just arrived at the training area from the back office corridor.
002,B5,Sara,I'm heading to the staff only corridor now.
003,B6,Sara,I just arrived at the climbing area from the staff only corridor.
003,D1,Mark,Got it.
003,B6,Sara,There's a two-bolt belay station anchor on the main climbing wall here.
003,D1,Mark,Uh-huh.
003,B6,Sara,An anchor point with a quicklink is secured to the ceiling anchor.
003,D1,Mark,Right.
003,B6,Sara,A drawstring chalk bag is on the chalk station table.
003,D1,Mark,Noted.
003,B6,Sara,I'll head back to the staff only corridor now.
004,C6,Sara,I just arrived at the training area from the membership desk queue.
004,D1,Mark,Uh-huh.
004,C6,Sara,There's a smooth exercise mat on the stretching floor here.
004,D1,Mark,Got it.
004,C6,Sara,A hangboard is mounted on the wall near the mat.
004,D1,Mark,Right. I'm heading to the climbing hold storage path now.
004,C6,Sara,This smooth mat is different from the ribbed one I saw under the weight bench earlier.
004,C6,Sara,"Oh, and there was a campus board there too."
005,C1,Mark,I just arrived at the bouldering zone from the climbing hold storage path.
005,C6,Sara,Uh-huh.
005,C1,Mark,There's a training board here.
005,C6,Sara,Got it.
005,C1,Mark,I see a campus board rung on the wall.
005,C6,Sara,Right.
005,C1,Mark,A bouldering problem card with adhesive is next to the volume attachment point.
005,C6,Sara,Noted.
005,C1,Mark,I'll head back to the climbing hold storage path now.
005,C6,Sara,I'm heading to the lost and found path.
006,D6,Sara,I just arrived at the bouldering zone from the lost and found path.
006,C2,Mark,Uh-huh.
006,D6,Sara,There's a crash pad under the bouldering wall here.
006,C2,Mark,Got it.
006,D6,Sara,The crash pad has an integrated carry strap.
006,C2,Mark,Right.
006,D6,Sara,A training board is mounted above the bouldering wall here.
006,C2,Mark,Noted. I see a plastic hangboard below the training wall frame in my training area.
006,D6,Sara,That's different from the urethane hangboard I saw next to the support column earlier.
006,C2,Mark,I see. Are you still in the bouldering zone?
006,D6,Sara,"Yes, the training board here is positioned higher than my campus board."
006,C2,Mark,Got it. I'll head to the climbing hold storage path now.
007,D5,Sara,I just arrived at the bouldering zone from the drinking fountain access.
007,D5,Sara,There's a training board with a pinch grip below the campus board frame here.
007,C2,Mark,Uh-huh.
007,D5,Sara,A campus board rung is mounted on the wall.
007,C2,Mark,Got it.
007,D5,Sara,A volume boulder is stacked near the training board.
007,C2,Mark,Right.
007,D5,Sara,"Wait, you mentioned a campus board rung earlier. Was yours made of urethane?"
007,C2,Mark,"No, mine was composite and next to a volume attachment point with a bouldering problem card."
007,D5,Sara,"Ah, that's different from my urethane rung above the bouldering wall."
007,C2,Mark,I'll head to the kids zone walkway now.
008,B2,Mark,I just arrived at the training area from the kids zone walkway.
008,B2,Mark,There's a waffle-patterned exercise mat near the pull up bar frame here.
008,D5,Sara,Uh-huh. My smooth exercise mat is on the stretching floor in the bouldering zone.
008,B2,Mark,Got it. I see a twelve-inch campus board against the support column here.
008,D5,Sara,"Right, my campus board is ten-inch thick and below the hangboard mount."
008,B2,Mark,Noted. There's a pull up bar with a 1.5-inch diameter above the weight bench here.
008,D5,Sara,"Okay, I see a hangboard mounted on the wall near my campus board."
